gameday,season,week,away_team,home_team,pick_team,pick_market_odds,fair_odds,edge_pct,confidence_pct,bet_result
2026-09-09,2026,1,NE,SEA,OVER,-108.0,-132,7.295885290665371,82.63430652136385,LOSS
2026-09-10,2026,1,SF,LA,UNDER,-105.0,-129,7.500145771133276,84.39071042591992,WIN
2026-09-13,2026,1,ARI,LAC,OVER,-102.0,-118,5.908365819634287,66.65736505598099,LOSS
2026-09-13,2026,1,ATL,PIT,OVER,-112.0,-120,4.021755855639775,38.07413908741224,LOSS
2026-09-13,2026,1,BAL,IND,OVER,-102.0,-111,4.263111528863373,41.68895515684078,WIN
2026-09-13,2026,1,BUF,HOU,OVER,-110.0,-132,6.82704038984615,78.02116589957686,WIN
2026-09-13,2026,1,CHI,CAR,OVER,-105.0,-115,4.64251844778007,47.54133532081906,WIN
2026-09-13,2026,1,CLE,JAX,OVER,-102.0,-130,8.179583007029612,89.20871025128004,WIN
2026-09-13,2026,1,DAL,NYG,UNDER,-105.0,-106,2.4950859755772212,19.145690045088596,LOSS
2026-09-13,2026,1,GB,MIN,OVER,-102.0,-119,6.165931857637874,70.13442777881778,WIN
2026-09-13,2026,1,MIA,LV,OVER,-110.0,-114,3.2952846553699566,28.081004125464403,LOSS
2026-09-13,2026,1,NO,DET,OVER,-115.0,-117,2.727819902540063,21.498871401857507,WIN
2026-09-13,2026,1,NYJ,TEN,OVER,-110.0,-110,2.2673184633911436,17.038149374710564,LOSS
2026-09-13,2026,1,TB,CIN,OVER,-108.0,-106,1.8172509546822924,13.4212148997171,WIN
2026-09-13,2026,1,WAS,PHI,UNDER,-105.0,-102,1.4942263070383766,11.243479274076238,LOSS
2026-09-14,2026,1,DEN,KC,UNDER,-110.0,-123,5.089537461567961,54.51171750591268,WIN
